Customer_ID,Age,Gender,Location,Tenure,Contract_Type,Subscription_Plan,Monthly_Charges,Total_Charges,Payment_Method,Internet_Service,Login_Frequency,Support_Tickets,Complaints,Avg_Session_Duration,Last_Login,Churn
CUST133554,57.0,male,Bengaluru,35.0,One Year,Premium,1133.84,39207.18,Debit Card,Fiber,14.0,3.0,0.0,57.0,2026-06-28,1
CUST109428,70.0,female,Jaipur,29.0,One Year,Standard,725.32,19918.12,Net Banking,Mobile Data,15.0,3.0,1.0,15.7,2026-08-07,0
CUST100200,73.0,male,Bengaluru,46.0,Two Year,Standard,865.06,41611.82,Debit Card,Fiber,10.0,1.0,0.0,35.9,2026-07-23,0
CUST112448,26.0,female,Ahmedabad,59.0,One Year,Basic,399.95,26431.87,Credit Card,Fiber,12.0,2.0,3.0,30.6,2026-06-17,0
CUST139490,31.0,female,Kochi,24.0,Month-to-Month,Premium,1141.21,30201.24,Net Banking,Fiber,15.0,1.0,0.0,19.2,2026-07-11,1
CUST142725,38.0,female,Jaipur,37.0,Month-to-Month,Premium,1259.35,42413.87,Auto Debit,Fiber,11.0,3.0,0.0,25.1,2026-06-30,1
CUST110823,24.0,female,Chennai,41.0,Month-to-Month,Standard,723.68,31797.88,Debit Card,,6.0,1.0,0.0,30.8,2026-08-13,0
CUST142480,73.0,female,Kochi,9.0,Two Year,Standard,730.09,6924.51,Auto Debit,Fiber,10.0,2.0,0.0,31.0,2026-06-26,0
CUST104145,25.0,male,Chennai,20.0,Month-to-Month,Basic,636.68,13775.12,UPI,Fiber,18.0,2.0,0.0,55.8,2026-06-29,0
CUST136959,30.0,male,,46.0,Month-to-Month,Basic,525.89,22146.61,Credit Card,Fiber,11.0,3.0,1.0,46.8,2026-08-26,0
CUST143107,35.0,male,Kochi,15.0,Month-to-Month,Basic,709.38,11380.38,Credit Card,Fiber,18.0,0.0,0.0,53.7,2026-08-02,0
CUST138696,21.0,male,Bengaluru,52.0,Month-to-Month,Premium,1331.45,78543.36,Net Banking,DSL,1.0,2.0,0.0,32.5,2026-08-20,1
CUST106189,25.0,female,Hyderabad,72.0,Two Year,Standard,730.62,59947.28,Auto Debit,Cable,20.0,3.0,1.0,49.6,2026-07-28,0
CUST101415,51.0,female,Mumbai,22.0,Month-to-Month,Standard,778.78,17303.63,Credit Card,Cable,13.0,4.0,0.0,35.8,2026-08-30,0
CUST118472,35.0,female,Delhi,53.0,Month-to-Month,Basic,550.24,27335.24,UPI,DSL,10.0,4.0,0.0,19.5,2026-09-08,0
CUST129283,24.0,female,Hyderabad,7.0,Two Year,Basic,568.84,3387.35,Credit Card,Cable,3.0,2.0,0.0,32.5,2026-08-06,0
CUST115178,53.0,female,Bengaluru,27.0,One Year,Premium,1206.49,35487.99,Credit Card,Mobile Data,4.0,2.0,0.0,43.3,2026-07-29,1
CUST134305,52.0,male,Ahmedabad,47.0,Month-to-Month,Standard,1007.54,54347.09,Debit Card,Fiber,4.0,6.0,2.0,41.5,2026-09-10,1
CUST112610,59.0,female,Jaipur,55.0,Month-to-Month,Standard,867.77,49352.06,UPI,Fiber,10.0,0.0,2.0,43.4,2026-08-13,0
CUST112145,42.0,male,Jaipur,5.0,Month-to-Month,Premium,1208.19,5258.11,Auto Debit,DSL,6.0,2.0,0.0,25.4,2026-07-30,1
CUST106114,53.0,female,Ahmedabad,45.0,Two Year,Premium,1038.67,40166.13,Net Banking,DSL,10.0,2.0,0.0,38.7,2026-09-02,1
CUST115909,52.0,female,Bengaluru,11.0,Month-to-Month,Basic,373.84,4584.85,Auto Debit,Cable,18.0,2.0,0.0,56.3,2026-07-05,0
CUST100822,56.0,male,Hyderabad,38.0,One Year,Basic,461.09,16911.96,Debit Card,Mobile Data,3.0,2.0,0.0,11.5,2026-08-18,0
CUST115119,32.0,female,Mumbai,4.0,Month-to-Month,Standard,915.35,3144.61,Credit Card,Cable,22.0,4.0,0.0,32.4,2026-07-31,1
CUST113467,30.0,female,Pune,2.0,Month-to-Month,Basic,385.53,666.94,UPI,Cable,11.0,2.0,0.0,40.6,2026-08-31,0
CUST126498,69.0,male,Ahmedabad,29.0,Month-to-Month,Basic,325.37,9655.61,UPI,DSL,7.0,5.0,1.0,14.2,2026-08-12,0
CUST142112,38.0,female,Mumbai,60.0,Month-to-Month,Standard,871.79,59193.81,Credit Card,Cable,14.0,2.0,1.0,36.6,2026-08-30,1
CUST130189,50.0,female,Hyderabad,1.0,Two Year,Basic,441.02,505.99,Auto Debit,,6.0,1.0,0.0,32.2,2026-06-15,0
CUST137238,48.0,male,Hyderabad,54.0,Month-to-Month,Basic,475.98,25952.91,Auto Debit,Fiber,15.0,1.0,1.0,33.9,2026-06-30,0
CUST133110,66.0,female,Kolkata,64.0,Month-to-Month,Basic,438.74,30429.14,UPI,Fiber,3.0,2.0,0.0,41.0,2026-08-24,0
CUST136481,46.0,male,Jaipur,10.0,Two Year,Premium,1347.14,14804.22,Auto Debit,Fiber,9.0,4.0,1.0,40.2,2026-08-29,0
CUST124149,19.0,male,Chennai,46.0,Month-to-Month,Standard,859.19,42573.26,Cash,DSL,18.0,2.0,0.0,34.8,2026-07-10,1
CUST105504,59.0,female,Delhi,71.0,One Year,Basic,348.27,23127.2,Cash,Fiber,8.0,2.0,4.0,29.8,2026-08-20,0
CUST103919,21.0,female,Ahmedabad,46.0,Month-to-Month,Premium,1210.26,49164.19,Debit Card,,7.0,2.0,0.0,85.2,2026-08-19,1
CUST138479,61.0,male,Chennai,50.0,Two Year,Basic,474.49,26341.52,Debit Card,DSL,8.0,1.0,0.0,51.0,2026-08-22,0
CUST121124,48.0,male,Pune,13.0,Month-to-Month,Premium,1435.86,19423.73,Credit Card,Cable,10.0,5.0,0.0,33.9,2026-08-13,1
CUST114958,42.0,female,Delhi,16.0,One Year,Basic,569.62,8075.61,UPI,DSL,4.0,4.0,0.0,18.4,2026-07-17,0
CUST142295,63.0,male,Kolkata,26.0,One Year,Premium,1113.52,31899.78,UPI,Mobile Data,11.0,3.0,1.0,62.9,2026-07-08,1
CUST147610,37.0,female,Hyderabad,54.0,Month-to-Month,Standard,780.54,47495.7,UPI,DSL,14.0,3.0,3.0,49.3,2026-06-21,1
CUST111077,45.0,male,Hyderabad,18.0,Two Year,Standard,724.77,14727.43,Credit Card,Fiber,11.0,4.0,3.0,58.9,2026-07-21,0
CUST141515,34.0,female,Ahmedabad,23.0,Month-to-Month,Standard,757.22,15177.97,UPI,Fiber,21.0,3.0,0.0,50.0,2026-06-28,0
CUST122063,42.0,female,Mumbai,7.0,Month-to-Month,Basic,349.83,2372.62,Credit Card,Fiber,14.0,3.0,0.0,38.8,2026-08-18,0
CUST109414,23.0,male,Mumbai,5.0,Month-to-Month,Basic,547.51,2914.31,UPI,,10.0,2.0,0.0,48.0,2026-07-28,0
CUST138341,36.0,female,Mumbai,10.0,Two Year,Premium,1236.24,11350.55,Debit Card,Fiber,16.0,1.0,2.0,49.1,2026-08-09,1
CUST130264,21.0,female,Pune,48.0,Month-to-Month,Basic,475.9,19671.13,Debit Card,Fiber,11.0,1.0,,41.8,2026-08-22,0
CUST141253,74.0,male,Pune,30.0,Two Year,Premium,1244.75,32417.77,Credit Card,Cable,11.0,5.0,2.0,31.8,2026-08-04,1
CUST114645,46.0,male,Bengaluru,36.0,Month-to-Month,Standard,657.81,24825.59,Credit Card,Fiber,19.0,4.0,0.0,28.1,2026-07-06,0
CUST126336,35.0,female,Chennai,7.0,One Year,Basic,421.78,2868.52,Credit Card,,12.0,4.0,1.0,26.9,2026-07-15,0
CUST128103,39.0,female,Chennai,14.0,Month-to-Month,Basic,426.36,5892.54,UPI,Cable,17.0,2.0,0.0,60.8,,0
CUST117524,23.0,male,Kochi,18.0,Month-to-Month,Basic,553.27,10033.1,UPI,Fiber,7.0,2.0,0.0,32.0,2026-08-21,0
CUST124713,45.0,male,Kolkata,25.0,Month-to-Month,Basic,368.87,9905.48,UPI,DSL,0.0,3.0,1.0,44.1,2026-08-07,0
CUST140486,23.0,female,Kochi,13.0,One Year,Standard,,8258.19,Net Banking,DSL,16.0,4.0,1.0,43.6,2026-08-07,0
CUST103851,60.0,male,Mumbai,37.0,Month-to-Month,Premium,1300.69,47540.69,UPI,Fiber,12.0,4.0,0.0,36.7,2026-08-11,1
CUST140041,72.0,female,Mumbai,2.0,Month-to-Month,Basic,539.38,942.99,Credit Card,Fiber,3.0,2.0,0.0,30.5,2026-09-11,0
CUST115268,51.0,female,Chennai,64.0,Month-to-Month,Basic,641.73,41648.19,Debit Card,,13.0,1.0,2.0,33.6,2026-07-20,0
CUST130686,49.0,female,Pune,38.0,One Year,Premium,1362.05,48139.54,UPI,DSL,9.0,2.0,0.0,23.4,2026-07-11,1
CUST130002,38.0,male,Kochi,15.0,One Year,Premium,1084.86,14978.24,Net Banking,Fiber,4.0,1.0,1.0,27.7,2026-07-23,1
CUST145927,44.0,male,Pune,49.0,Month-to-Month,Premium,1177.43,49769.01,Auto Debit,Fiber,11.0,2.0,,44.1,2026-08-10,1
CUST143825,46.0,male,Jaipur,26.0,Month-to-Month,Premium,1334.26,29623.04,Cash,Mobile Data,21.0,0.0,1.0,49.5,2026-07-27,1
CUST117241,22.0,male,Ahmedabad,31.0,Month-to-Month,Basic,544.71,15342.06,UPI,DSL,12.0,2.0,0.0,61.3,2026-07-10,0
CUST104893,21.0,male,Hyderabad,4.0,Two Year,Standard,884.4,3688.31,UPI,Fiber,17.0,2.0,2.0,36.5,2026-08-22,1
CUST100726,24.0,male,Ahmedabad,24.0,One Year,Premium,1324.62,27675.7,UPI,Cable,,0.0,0.0,44.5,2026-07-28,1
CUST122950,21.0,female,,5.0,Month-to-Month,Basic,550.89,3112.94,Net Banking,Cable,24.0,3.0,0.0,29.9,2026-06-22,0
CUST134658,21.0,male,Hyderabad,10.0,Two Year,Standard,695.66,7222.82,UPI,DSL,16.0,3.0,0.0,24.4,2026-08-18,0
CUST137214,63.0,male,Chennai,68.0,Two Year,Standard,762.27,51681.44,Net Banking,Cable,4.0,2.0,1.0,38.6,2026-07-21,0
CUST120305,34.0,female,Delhi,60.0,One Year,Premium,1218.38,69721.47,Auto Debit,Mobile Data,30.0,5.0,0.0,59.1,2026-07-11,1
CUST115270,24.0,female,Hyderabad,41.0,One Year,Basic,547.99,24787.87,UPI,Mobile Data,11.0,2.0,4.0,35.9,2026-06-27,0
CUST122368,68.0,male,Chennai,1.0,Two Year,Standard,716.61,678.61,Credit Card,Fiber,12.0,0.0,0.0,18.4,2026-07-16,0
CUST142685,73.0,male,Delhi,5.0,Month-to-Month,Standard,879.78,4194.77,UPI,Fiber,14.0,2.0,1.0,66.0,2026-07-14,1
CUST146735,56.0,female,Delhi,22.0,Two Year,Standard,759.71,18941.72,Auto Debit,Fiber,8.0,2.0,2.0,43.2,2026-09-07,0
CUST111733,39.0,male,Kolkata,66.0,One Year,Basic,700.06,50707.61,UPI,Cable,11.0,3.0,0.0,57.4,2026-07-05,0
CUST118620,55.0,male,Kolkata,34.0,Two Year,Premium,1035.44,30271.24,UPI,DSL,10.0,1.0,0.0,25.8,2026-08-15,1
CUST109496,53.0,male,Kolkata,32.0,Month-to-Month,Basic,626.62,18571.88,UPI,Mobile Data,8.0,0.0,2.0,24.9,2026-08-26,0
CUST126804,45.0,male,Delhi,65.0,Month-to-Month,Premium,1130.11,74952.66,Net Banking,Cable,14.0,2.0,1.0,57.4,2026-06-24,1
