Customer_ID,Age,Gender,Location,Tenure,Contract_Type,Subscription_Plan,Monthly_Charges,Total_Charges,Payment_Method,Internet_Service,Login_Frequency,Support_Tickets,Complaints,Avg_Session_Duration,Days_Since_Last_Login,Churn_Probability,Predicted_Churn,Risk_Level
CUST101826,70.0,Male,Jaipur,20.0,Two Year,Standard,676.39,12663.74,Net Banking,,13.0,1.0,3.0,24.6,35.0,0.22955376,0,Low
CUST110098,27.0,Female,Chennai,29.0,Month-to-Month,Basic,451.35,13061.35,Cash,Cable,,3.0,0.0,37.4,73.0,0.024266353,0,Low
CUST100169,37.0,Male,Chennai,1.0,One Year,Standard,762.0,694.08,Credit Card,Fiber,16.0,3.0,2.0,29.5,71.0,0.567953,1,Medium
CUST104372,27.0,Female,Chennai,33.0,Two Year,Basic,588.94,20462.96,Auto Debit,Fiber,4.0,3.0,1.0,5.0,55.0,0.068625,0,Low
CUST116793,56.0,Female,Delhi,5.0,Month-to-Month,Basic,514.5,2765.87,Auto Debit,Cable,8.0,6.0,2.0,39.4,68.0,0.04265717,0,Low
CUST105141,39.0,Female,Pune,55.0,Two Year,Standard,774.63,37346.77,UPI,,5.0,2.0,1.0,40.9,90.0,0.6253862,1,High
CUST113858,35.0,Male,Mumbai,26.0,Month-to-Month,Premium,1191.69,34872.35,Auto Debit,DSL,17.0,5.0,0.0,17.7,71.0,0.9764509,1,Critical
CUST118919,40.0,Male,Hyderabad,55.0,Month-to-Month,Premium,1391.51,87076.11,UPI,Fiber,18.0,1.0,1.0,54.0,42.0,0.9726326,1,Critical
CUST142214,74.0,Female,Delhi,68.0,One Year,Basic,645.77,48683.74,UPI,Fiber,19.0,2.0,2.0,31.7,27.0,0.024240335,0,Low
CUST111761,29.0,,Kolkata,30.0,Month-to-Month,Standard,894.44,28147.65,Net Banking,Fiber,9.0,2.0,0.0,31.2,10.0,0.8381503,1,Critical
CUST108980,48.0,Male,Kolkata,9.0,One Year,Basic,485.43,4250.82,Net Banking,Fiber,12.0,5.0,0.0,59.1,51.0,0.02860499,0,Low
CUST110283,20.0,Male,Kolkata,50.0,Month-to-Month,Basic,524.32,26640.02,Credit Card,Fiber,7.0,3.0,1.0,33.8,62.0,0.022675449,0,Low
CUST141914,23.0,Male,Mumbai,14.0,Month-to-Month,Basic,555.58,6972.34,Debit Card,Fiber,11.0,3.0,0.0,34.7,74.0,0.06945987,0,Low
CUST108212,23.0,Female,Kochi,70.0,Two Year,Premium,1067.72,78734.34,UPI,,8.0,0.0,1.0,20.6,77.0,0.96621174,1,Critical
CUST100791,23.0,Female,Mumbai,49.0,Month-to-Month,Basic,434.33,20654.01,UPI,Fiber,16.0,3.0,0.0,64.8,73.0,0.020464873,0,Low
CUST132046,72.0,Male,Delhi,71.0,Two Year,Standard,840.19,60912.42,Credit Card,Fiber,0.0,1.0,0.0,36.1,69.0,0.49349323,0,Medium
CUST103982,23.0,Male,Delhi,15.0,One Year,Standard,812.32,11435.27,Cash,Fiber,15.0,6.0,1.0,48.4,89.0,0.8653848,1,Critical
CUST125740,27.0,Female,Delhi,7.0,One Year,Basic,383.91,3048.46,Debit Card,DSL,10.0,0.0,1.0,26.3,29.0,0.04297347,0,Low
CUST103133,62.0,Female,Delhi,70.0,Month-to-Month,Basic,466.24,33085.49,Debit Card,Fiber,14.0,2.0,0.0,72.3,38.0,0.025916573,0,Low
