Customer_ID,Actual_Churn,Churn_Probability,Risk_Score,Risk_Level,Retention_Priority,Recommended_Action
CUST146170,1,0.9870287,98.7,Critical,Immediate,Immediate retention intervention
CUST146747,1,0.9867219,98.67,Critical,Immediate,Immediate retention intervention
CUST109667,1,0.9865051,98.65,Critical,Immediate,Immediate retention intervention
CUST114363,1,0.98638225,98.64,Critical,Immediate,Immediate retention intervention
CUST115376,1,0.9863874,98.64,Critical,Immediate,Immediate retention intervention
CUST115684,1,0.98605216,98.61,Critical,Immediate,Immediate retention intervention
CUST136376,1,0.9858307,98.58,Critical,Immediate,Immediate retention intervention
CUST114228,1,0.98558724,98.56,Critical,Immediate,Immediate retention intervention
CUST146520,1,0.9854763,98.55,Critical,Immediate,Immediate retention intervention
CUST103900,0,0.9855296,98.55,Critical,Immediate,Immediate retention intervention
CUST120663,1,0.9853977,98.54,Critical,Immediate,Immediate retention intervention
CUST142816,1,0.98531646,98.53,Critical,Immediate,Immediate retention intervention
CUST131689,1,0.9852009,98.52,Critical,Immediate,Immediate retention intervention
CUST112727,1,0.9848534,98.49,Critical,Immediate,Immediate retention intervention
CUST104276,1,0.9848765,98.49,Critical,Immediate,Immediate retention intervention
CUST125964,1,0.984809,98.48,Critical,Immediate,Immediate retention intervention
CUST107501,0,0.9846635,98.47,Critical,Immediate,Immediate retention intervention
CUST133469,1,0.98463917,98.46,Critical,Immediate,Immediate retention intervention
CUST123741,1,0.9846199,98.46,Critical,Immediate,Immediate retention intervention
CUST131341,1,0.98447025,98.45,Critical,Immediate,Immediate retention intervention
CUST147644,1,0.9844518,98.45,Critical,Immediate,Immediate retention intervention
CUST114323,1,0.98443884,98.44,Critical,Immediate,Immediate retention intervention
CUST114640,1,0.9843664,98.44,Critical,Immediate,Immediate retention intervention
CUST113185,1,0.9843932,98.44,Critical,Immediate,Immediate retention intervention
CUST141777,1,0.98426247,98.43,Critical,Immediate,Immediate retention intervention
CUST107278,1,0.9841638,98.42,Critical,Immediate,Immediate retention intervention
CUST130633,1,0.98419446,98.42,Critical,Immediate,Immediate retention intervention
CUST141163,0,0.98405725,98.41,Critical,Immediate,Immediate retention intervention
CUST121641,1,0.9839924,98.4,Critical,Immediate,Immediate retention intervention
CUST117789,1,0.9837547,98.38,Critical,Immediate,Immediate retention intervention
CUST126356,1,0.9837894,98.38,Critical,Immediate,Immediate retention intervention
CUST108937,1,0.98372376,98.37,Critical,Immediate,Immediate retention intervention
CUST108559,1,0.98360866,98.36,Critical,Immediate,Immediate retention intervention
CUST122875,1,0.9834953,98.35,Critical,Immediate,Immediate retention intervention
CUST117245,1,0.98351467,98.35,Critical,Immediate,Immediate retention intervention
CUST117334,1,0.9831755,98.32,Critical,Immediate,Immediate retention intervention
CUST131324,1,0.983073,98.31,Critical,Immediate,Immediate retention intervention
CUST104387,1,0.9830835,98.31,Critical,Immediate,Immediate retention intervention
CUST118850,1,0.9829965,98.3,Critical,Immediate,Immediate retention intervention
CUST141209,1,0.98281294,98.28,Critical,Immediate,Immediate retention intervention
CUST144925,0,0.9826984,98.27,Critical,Immediate,Immediate retention intervention
CUST121254,1,0.9825575,98.26,Critical,Immediate,Immediate retention intervention
CUST123202,1,0.98254997,98.26,Critical,Immediate,Immediate retention intervention
CUST119271,1,0.98245186,98.25,Critical,Immediate,Immediate retention intervention
CUST137342,1,0.98244965,98.24,Critical,Immediate,Immediate retention intervention
CUST146265,1,0.98244506,98.24,Critical,Immediate,Immediate retention intervention
CUST126014,1,0.98233426,98.23,Critical,Immediate,Immediate retention intervention
CUST110282,1,0.98221064,98.22,Critical,Immediate,Immediate retention intervention
CUST116189,1,0.982239,98.22,Critical,Immediate,Immediate retention intervention
CUST117451,1,0.98201275,98.2,Critical,Immediate,Immediate retention intervention
CUST107684,1,0.98200595,98.2,Critical,Immediate,Immediate retention intervention
CUST105032,1,0.98188305,98.19,Critical,Immediate,Immediate retention intervention
CUST141523,1,0.9818855,98.19,Critical,Immediate,Immediate retention intervention
CUST104335,1,0.9819048,98.19,Critical,Immediate,Immediate retention intervention
CUST122748,1,0.98187387,98.19,Critical,Immediate,Immediate retention intervention
CUST120333,1,0.9818101,98.18,Critical,Immediate,Immediate retention intervention
CUST106416,1,0.98182964,98.18,Critical,Immediate,Immediate retention intervention
CUST124442,1,0.9818434,98.18,Critical,Immediate,Immediate retention intervention
CUST130163,1,0.9817297,98.17,Critical,Immediate,Immediate retention intervention
CUST123014,1,0.98165303,98.17,Critical,Immediate,Immediate retention intervention
CUST133987,1,0.9815765,98.16,Critical,Immediate,Immediate retention intervention
CUST137502,1,0.9815792,98.16,Critical,Immediate,Immediate retention intervention
CUST140827,1,0.98146516,98.15,Critical,Immediate,Immediate retention intervention
CUST128763,1,0.9814301,98.14,Critical,Immediate,Immediate retention intervention
CUST146590,0,0.9813355,98.13,Critical,Immediate,Immediate retention intervention
CUST127299,0,0.9812563,98.13,Critical,Immediate,Immediate retention intervention
CUST131665,1,0.98134756,98.13,Critical,Immediate,Immediate retention intervention
CUST135870,1,0.9811802,98.12,Critical,Immediate,Immediate retention intervention
CUST119541,1,0.9812462,98.12,Critical,Immediate,Immediate retention intervention
CUST102726,1,0.9812445,98.12,Critical,Immediate,Immediate retention intervention
CUST135518,1,0.9811111,98.11,Critical,Immediate,Immediate retention intervention
CUST104357,1,0.98113936,98.11,Critical,Immediate,Immediate retention intervention
CUST119659,1,0.9811257,98.11,Critical,Immediate,Immediate retention intervention
CUST114411,1,0.9810414,98.1,Critical,Immediate,Immediate retention intervention
CUST100608,1,0.9810457,98.1,Critical,Immediate,Immediate retention intervention
CUST112807,1,0.9809306,98.09,Critical,Immediate,Immediate retention intervention
CUST101656,1,0.9807554,98.08,Critical,Immediate,Immediate retention intervention
CUST125479,1,0.98084694,98.08,Critical,Immediate,Immediate retention intervention
