Customer_ID,Age,Gender,Location,Tenure,Contract_Type,Subscription_Plan,Monthly_Charges,Total_Charges,Payment_Method,Internet_Service,Login_Frequency,Support_Tickets,Complaints,Avg_Session_Duration,Churn,Days_Since_Last_Login,Customer_Value,Churn_Probability,Risk_Level,Customer_Value_Group,Customer_Segment,Retention_Priority,Recommended_Action,Priority_Score
CUST128894,58.0,Female,Mumbai,72.0,Month-to-Month,Premium,1334.72,106356.95,UPI,Fiber,19.0,3.0,0.0,58.0,1,26.0,106356.95,0.96516967,Critical Risk,High Value,Critical - High Value,Immediate,Immediate personalized retention intervention,0.9684884692014937
CUST108845,47.0,Male,Jaipur,70.0,Month-to-Month,Premium,1335.92,103307.08,Net Banking,Cable,11.0,3.0,0.0,61.8,1,79.0,103307.08,0.97556734,Critical Risk,High Value,Critical - High Value,Immediate,Immediate personalized retention intervention,0.9673685807204591
CUST145392,46.0,Male,Ahmedabad,72.0,Two Year,Premium,1326.86,108946.35,Net Banking,Mobile Data,17.0,4.0,0.0,35.1,1,3.0,108946.35,0.9501053,Critical Risk,High Value,Critical - High Value,Immediate,Immediate personalized retention intervention,0.9650736927986145
CUST116032,31.0,Male,Kolkata,72.0,Two Year,Premium,1318.53,102977.85,Credit Card,,13.0,2.0,1.0,28.7,1,43.0,102977.85,0.9677164,Critical Risk,High Value,Critical - High Value,Immediate,Immediate personalized retention intervention,0.9609663294259716
CUST116032,31.0,Male,Kolkata,72.0,Two Year,Premium,,102977.85,Credit Card,,13.0,2.0,1.0,28.7,1,43.0,102977.85,0.9677164,Critical Risk,High Value,Critical - High Value,Immediate,Immediate personalized retention intervention,0.9609663294259716
CUST113863,42.0,Male,Ahmedabad,70.0,Month-to-Month,Premium,1287.49,103053.93,Debit Card,Fiber,11.0,2.0,0.0,25.2,1,26.0,103053.93,0.964533,Critical Risk,High Value,Critical - High Value,Immediate,Immediate personalized retention intervention,0.9589473881822752
CUST124552,43.0,Male,Pune,70.0,Month-to-Month,Premium,1302.03,99172.72,UPI,Mobile Data,4.0,0.0,1.0,42.8,1,4.0,99172.72,0.97903925,Critical Risk,High Value,Critical - High Value,Immediate,Immediate personalized retention intervention,0.958414324520277
CUST106633,29.0,Female,Ahmedabad,69.0,Month-to-Month,Premium,1314.32,104222.18,Debit Card,Mobile Data,19.0,3.0,1.0,30.9,1,56.0,104222.18,0.9557747,Critical Risk,High Value,Critical - High Value,Immediate,Immediate personalized retention intervention,0.9560335835959604
CUST114292,59.0,Female,Ahmedabad,69.0,Two Year,Premium,1373.48,100685.1,Auto Debit,Cable,11.0,4.0,0.0,54.5,1,19.0,100685.1,0.96846753,Critical Risk,High Value,Critical - High Value,Immediate,Immediate personalized retention intervention,0.9551786734154855
CUST104442,38.0,Male,Delhi,71.0,Two Year,Premium,1274.1,102076.92,Credit Card,,10.0,1.0,0.0,35.5,1,84.0,102076.92,0.9592127,Critical Risk,High Value,Critical - High Value,Immediate,Immediate personalized retention intervention,0.9525328878319055
CUST107901,24.0,Male,Kochi,68.0,Month-to-Month,Premium,1297.31,98947.36,Net Banking,Mobile Data,13.0,2.0,3.0,43.7,0,86.0,98947.36,0.9680311,Critical Risk,High Value,Critical - High Value,Immediate,Immediate personalized retention intervention,0.9500880737210666
CUST132742,39.0,Male,Chennai,70.0,Month-to-Month,Premium,1277.05,99418.05,Cash,DSL,16.0,2.0,1.0,56.2,1,48.0,99418.05,0.96523327,Critical Risk,High Value,Critical - High Value,Immediate,Immediate personalized retention intervention,0.9494256993174455
CUST116916,69.0,Male,Hyderabad,68.0,Month-to-Month,Premium,1382.73,100605.33,Auto Debit,Fiber,17.0,4.0,0.0,41.4,1,50.0,100605.33,0.960401,Critical Risk,High Value,Critical - High Value,Immediate,Immediate personalized retention intervention,0.9493124284222643
CUST138374,75.0,Female,Chennai,71.0,Month-to-Month,Premium,1292.37,98460.24,Net Banking,Mobile Data,14.0,1.0,0.0,43.7,1,89.0,98460.24,0.9682169,Critical Risk,High Value,Critical - High Value,Immediate,Immediate personalized retention intervention,0.948876773589654
CUST140295,63.0,Male,Jaipur,72.0,Month-to-Month,Premium,1348.74,100316.91,UPI,Fiber,11.0,2.0,0.0,34.8,1,33.0,100316.91,0.9605676,Critical Risk,High Value,Critical - High Value,Immediate,Immediate personalized retention intervention,0.948634867287977
CUST128063,38.0,Male,Ahmedabad,70.0,Two Year,Premium,1276.55,97112.83,Net Banking,DSL,,2.0,0.0,47.4,1,84.0,97112.83,0.9716427,Critical Risk,High Value,Critical - High Value,Immediate,Immediate personalized retention intervention,0.9475644935547837
CUST117272,45.0,Female,Delhi,72.0,Month-to-Month,Premium,1274.68,97951.02,Net Banking,Fiber,15.0,1.0,1.0,55.7,1,38.0,97951.02,0.9664741,Critical Risk,High Value,Critical - High Value,Immediate,Immediate personalized retention intervention,0.9462545726127471
CUST107028,74.0,Male,Mumbai,70.0,One Year,Premium,1339.48,95998.83,Auto Debit,Fiber,15.0,0.0,1.0,34.4,1,43.0,95998.83,0.97339964,Critical Risk,High Value,Critical - High Value,Immediate,Immediate personalized retention intervention,0.9457268108881318
CUST142213,60.0,Female,Jaipur,70.0,Month-to-Month,Premium,1266.86,95212.54,Auto Debit,Fiber,6.0,2.0,0.0,13.6,1,76.0,95212.54,0.97634125,Critical Risk,High Value,Critical - High Value,Immediate,Immediate personalized retention intervention,0.9456207463301298
CUST104387,33.0,Male,Mumbai,67.0,Month-to-Month,Premium,1224.25,93187.18,Debit Card,Fiber,11.0,2.0,0.0,75.9,1,74.0,93187.18,0.9830835,Critical Risk,High Value,Critical - High Value,Immediate,Immediate personalized retention intervention,0.9447632309178202
CUST143402,27.0,Male,Ahmedabad,67.0,Two Year,Premium,1363.87,98724.25,Debit Card,DSL,12.0,2.0,0.0,47.6,1,35.0,98724.25,0.9607025,Critical Risk,High Value,Critical - High Value,Immediate,Immediate personalized retention intervention,0.9443436545419809
CUST102080,25.0,Male,Kolkata,72.0,Month-to-Month,Premium,1224.04,98041.28,Credit Card,Mobile Data,0.0,2.0,1.0,21.6,1,46.0,98041.28,0.9624035,Critical Risk,High Value,Critical - High Value,Immediate,Immediate personalized retention intervention,0.9436537169215944
CUST100128,,Male,Delhi,64.0,Month-to-Month,Premium,1304.86,93889.19,Cash,Fiber,6.0,4.0,0.0,66.1,1,48.0,93889.19,0.9782249,Critical Risk,High Value,Critical - High Value,Immediate,Immediate personalized retention intervention,0.9432952789716098
CUST120513,23.0,Female,Mumbai,62.0,Month-to-Month,Premium,1353.25,96257.14,Net Banking,Mobile Data,15.0,2.0,1.0,40.8,1,17.0,96257.14,0.96851915,Critical Risk,High Value,Critical - High Value,Immediate,Immediate personalized retention intervention,0.9430217465184003
CUST146679,50.0,Male,Mumbai,72.0,Month-to-Month,Premium,1291.68,99567.03,Debit Card,,13.0,4.0,2.0,42.4,1,54.0,99567.03,0.9549679,Critical Risk,High Value,Critical - High Value,Immediate,Immediate personalized retention intervention,0.9426501807747065
CUST126291,56.0,Male,Kochi,71.0,Month-to-Month,Premium,1167.25,94473.13,Auto Debit,DSL,19.0,3.0,0.0,52.5,1,79.0,94473.13,0.9745721,Critical Risk,High Value,Critical - High Value,Immediate,Immediate personalized retention intervention,0.942346324675657
CUST105389,46.0,Female,Hyderabad,71.0,Month-to-Month,Premium,1211.56,96191.63,Credit Card,Fiber,12.0,2.0,0.0,43.6,1,77.0,96191.63,0.9656236,Critical Risk,High Value,Critical - High Value,Immediate,Immediate personalized retention intervention,0.940814499031472
CUST135889,31.0,Male,Mumbai,72.0,Month-to-Month,Premium,1276.5,97998.56,Auto Debit,DSL,8.0,2.0,0.0,48.8,1,48.0,97998.56,0.95774674,Critical Risk,High Value,Critical - High Value,Immediate,Immediate personalized retention intervention,0.9402763626212246
CUST119308,57.0,Male,Ahmedabad,68.0,Month-to-Month,Premium,1294.21,96739.79,Auto Debit,DSL,8.0,1.0,0.0,40.1,1,90.0,96739.79,0.9626073,Critical Risk,High Value,Critical - High Value,Immediate,Immediate personalized retention intervention,0.9402125638965342
CUST110179,66.0,Female,Jaipur,64.0,Two Year,Premium,1351.38,93982.24,Auto Debit,Mobile Data,19.0,3.0,0.0,52.8,1,9.0,93982.24,0.97251475,Critical Risk,High Value,Critical - High Value,Immediate,Immediate personalized retention intervention,0.9395544185258191
CUST110179,66.0,Female,Jaipur,,Two Year,Premium,1351.38,93982.24,Auto Debit,Mobile Data,19.0,3.0,0.0,52.8,1,9.0,93982.24,0.97251475,Critical Risk,High Value,Critical - High Value,Immediate,Immediate personalized retention intervention,0.9395544185258191
CUST144447,37.0,Female,Chennai,71.0,Month-to-Month,Premium,1221.56,92322.49,Auto Debit,Fiber,0.0,0.0,1.0,22.0,0,79.0,92322.49,0.97173387,Critical Risk,High Value,Critical - High Value,Immediate,Immediate personalized retention intervention,0.9344374155186146
CUST127176,63.0,Male,Delhi,71.0,Month-to-Month,Premium,1253.99,97206.64,UPI,Fiber,14.0,0.0,0.0,47.9,1,76.0,97206.64,0.952393,Critical Risk,High Value,Critical - High Value,Immediate,Immediate personalized retention intervention,0.9343480509210889
CUST146536,49.0,Female,Bengaluru,69.0,One Year,Premium,1240.19,95069.26,Debit Card,DSL,13.0,2.0,1.0,38.2,1,61.0,95069.26,0.95980954,Critical Risk,High Value,Critical - High Value,Immediate,Immediate personalized retention intervention,0.9336540213330801
CUST119472,52.0,Male,Kolkata,62.0,Month-to-Month,Premium,1307.95,92887.27,Net Banking,DSL,16.0,1.0,3.0,24.0,1,1.0,92887.27,0.967092,Critical Risk,High Value,Critical - High Value,Immediate,Immediate personalized retention intervention,0.9327433337554705
CUST119472,52.0,Male,Kolkata,62.0,Month-to-Month,Premium,1307.95,92887.27,Net Banking,DSL,16.0,1.0,3.0,24.0,1,1.0,92887.27,0.967092,Critical Risk,High Value,Critical - High Value,Immediate,Immediate personalized retention intervention,0.9327433337554705
CUST115744,20.0,Male,Mumbai,69.0,One Year,Premium,1237.74,96830.68,Credit Card,Fiber,12.0,5.0,1.0,44.4,1,77.0,96830.68,0.9514535,Critical Risk,High Value,Critical - High Value,Immediate,Immediate personalized retention intervention,0.9326551710239213
CUST114589,49.0,Male,Chennai,65.0,One Year,Premium,1315.42,92973.18,UPI,Fiber,11.0,2.0,1.0,46.2,1,1.0,92973.18,0.9657745,Critical Risk,High Value,Critical - High Value,Immediate,Immediate personalized retention intervention,0.9320576370663545
CUST125485,27.0,Female,Bengaluru,72.0,Month-to-Month,Premium,1252.9,94537.9,Net Banking,Fiber,8.0,1.0,2.0,47.4,1,24.0,94537.9,0.9590647,Critical Risk,High Value,Critical - High Value,Immediate,Immediate personalized retention intervention,0.9316694806102965
CUST127853,73.0,Male,Chennai,62.0,One Year,Premium,1257.76,89300.15,Auto Debit,DSL,3.0,1.0,0.0,45.4,1,8.0,89300.15,0.9794351,Critical Risk,High Value,Critical - High Value,Immediate,Immediate personalized retention intervention,0.9315058347064941
CUST129870,70.0,Female,Chennai,65.0,Month-to-Month,Premium,1296.16,90865.27,Auto Debit,Fiber,13.0,3.0,0.0,51.5,1,6.0,90865.27,0.97285604,Critical Risk,High Value,Critical - High Value,Immediate,Immediate personalized retention intervention,0.931210272839738
CUST138818,54.0,Male,Pune,67.0,Month-to-Month,Premium,1305.65,91664.69,Auto Debit,Fiber,14.0,1.0,0.0,29.5,0,87.0,91664.69,0.9696895,Critical Risk,High Value,Critical - High Value,Immediate,Immediate personalized retention intervention,0.9311950173366816
CUST145813,69.0,Male,Bengaluru,69.0,Month-to-Month,Premium,1291.3,90122.29,Net Banking,Fiber,6.0,3.0,0.0,22.8,1,48.0,90122.29,0.9757036,Critical Risk,High Value,Critical - High Value,Immediate,Immediate personalized retention intervention,0.9311576652890207
CUST103436,53.0,Female,Pune,72.0,Month-to-Month,Premium,1346.45,96522.98,Net Banking,Cable,20.0,1.0,1.0,34.9,1,71.0,96522.98,0.95041287,Critical Risk,High Value,Critical - High Value,Immediate,Immediate personalized retention intervention,0.9310793852800117
CUST136513,50.0,Female,Jaipur,70.0,Month-to-Month,Premium,1123.05,89587.85,Auto Debit,Fiber,5.0,2.0,0.0,53.7,0,56.0,89587.85,0.9776199,Critical Risk,High Value,Critical - High Value,Immediate,Immediate personalized retention intervention,0.9310274076860563
CUST123458,58.0,Male,Bengaluru,72.0,One Year,Premium,1322.93,100543.59,,Mobile Data,13.0,3.0,0.0,7.3,1,68.0,100543.59,0.9342385,Critical Risk,High Value,Critical - High Value,Immediate,Immediate personalized retention intervention,0.9308287122162124
CUST127823,41.0,Male,Chennai,58.0,Month-to-Month,Premium,1378.69,89797.03,Credit Card,Mobile Data,12.0,2.0,2.0,28.1,1,31.0,89797.03,0.97556406,Critical Risk,High Value,Critical - High Value,Immediate,Immediate personalized retention intervention,0.9301643214255753
CUST127823,41.0,Male,Chennai,58.0,Month-to-Month,Premium,1378.69,89797.03,Credit Card,Mobile Data,12.0,2.0,2.0,28.1,1,31.0,89797.03,0.97556406,Critical Risk,High Value,Critical - High Value,Immediate,Immediate personalized retention intervention,0.9301643214255753
CUST107613,44.0,Male,Jaipur,71.0,Month-to-Month,Premium,1185.04,92443.05,Auto Debit,Fiber,7.0,1.0,0.0,24.2,1,15.0,92443.05,0.96497095,Critical Risk,High Value,Critical - High Value,Immediate,Immediate personalized retention intervention,0.9300353561268586
CUST139248,23.0,Male,Delhi,65.0,One Year,Premium,1304.58,94810.5,Credit Card,Fiber,9.0,1.0,2.0,54.8,1,51.0,94810.5,0.9553961,Critical Risk,High Value,Critical - High Value,Immediate,Immediate personalized retention intervention,0.9298521187928492
CUST103433,30.0,Male,Jaipur,68.0,Month-to-Month,Premium,1175.98,91544.7,UPI,Mobile Data,11.0,1.0,1.0,48.9,1,79.0,91544.7,0.966692,Critical Risk,High Value,Critical - High Value,Immediate,Immediate personalized retention intervention,0.9287663446916584
CUST143955,64.0,Male,Ahmedabad,72.0,Month-to-Month,Premium,1314.4,96517.17,Net Banking,Cable,15.0,1.0,1.0,43.8,1,66.0,96517.17,0.94672346,Critical Risk,High Value,Critical - High Value,Immediate,Immediate personalized retention intervention,0.9284808365309059
CUST104252,40.0,Female,Kochi,70.0,Month-to-Month,Premium,1311.13,91275.17,Net Banking,Fiber,14.0,2.0,0.0,29.4,1,31.0,91275.17,0.9661039,Critical Risk,High Value,Critical - High Value,Immediate,Immediate personalized retention intervention,0.9276125240189962
CUST116104,61.0,Male,Jaipur,70.0,Two Year,Premium,1238.36,96830.42,UPI,DSL,16.0,1.0,0.0,30.7,1,32.0,96830.42,0.9440148,Critical Risk,High Value,Critical - High Value,Immediate,Immediate personalized retention intervention,0.9274473337029767
CUST100643,67.0,Male,Jaipur,70.0,Two Year,Premium,1165.78,91872.32,UPI,Fiber,8.0,3.0,0.0,43.2,1,66.0,91872.32,0.96252793,Critical Risk,High Value,Critical - High Value,Immediate,Immediate personalized retention intervention,0.9267536492103386
CUST122050,32.0,Male,Delhi,62.0,Month-to-Month,Premium,1308.47,88080.0,Debit Card,Fiber,10.0,1.0,1.0,63.8,1,13.0,88080.0,0.97536725,Critical Risk,High Value,Critical - High Value,Immediate,Immediate personalized retention intervention,0.9252984772708748
CUST126300,32.0,Male,Ahmedabad,65.0,Month-to-Month,Premium,1258.95,88126.73,Net Banking,DSL,5.0,2.0,1.0,36.6,1,33.0,88126.73,0.97422874,Critical Risk,High Value,Critical - High Value,Immediate,Immediate personalized retention intervention,0.9246301815800368
CUST125264,60.0,Male,Kochi,70.0,Month-to-Month,Premium,1195.21,90940.36,Auto Debit,Mobile Data,10.0,3.0,1.0,41.9,1,23.0,90940.36,0.9620463,Critical Risk,High Value,Critical - High Value,Immediate,Immediate personalized retention intervention,0.9238502346835835
CUST125264,60.0,Male,Kochi,70.0,Month-to-Month,Premium,1195.21,90940.36,Auto Debit,Mobile Data,10.0,3.0,1.0,41.9,1,23.0,90940.36,0.9620463,Critical Risk,High Value,Critical - High Value,Immediate,Immediate personalized retention intervention,0.9238502346835835
CUST130583,70.0,Male,Jaipur,72.0,Month-to-Month,Premium,1196.48,88388.37,Debit Card,Fiber,6.0,3.0,0.0,39.3,1,16.0,88388.37,0.9713111,Critical Risk,High Value,Critical - High Value,Immediate,Immediate personalized retention intervention,0.9233082931326013
CUST130583,70.0,Male,Jaipur,72.0,Month-to-Month,Premium,1196.48,88388.37,Debit Card,Fiber,6.0,,0.0,39.3,1,16.0,88388.37,0.9713111,Critical Risk,High Value,Critical - High Value,Immediate,Immediate personalized retention intervention,0.9233082931326013
CUST110522,55.0,Female,Kochi,72.0,Month-to-Month,Premium,1199.05,94788.22,Debit Card,Fiber,19.0,2.0,0.0,49.2,1,33.0,94788.22,0.9461216,Critical Risk,High Value,Critical - High Value,Immediate,Immediate personalized retention intervention,0.92329856998113
CUST123877,46.0,Female,Mumbai,65.0,Two Year,Premium,1249.18,91036.66,UPI,Cable,10.0,2.0,0.0,28.1,1,45.0,91036.66,0.96013474,Critical Risk,High Value,Critical - High Value,Immediate,Immediate personalized retention intervention,0.9227772868002424
CUST122881,37.0,Female,Mumbai,72.0,Two Year,Premium,1282.71,89170.65,UPI,Fiber,1.0,1.0,0.0,48.3,1,89.0,89170.65,0.9671745,Critical Risk,High Value,Critical - High Value,Immediate,Immediate personalized retention intervention,0.9225667643689752
CUST140939,67.0,Male,Pune,67.0,Month-to-Month,Premium,1266.68,87424.22,Debit Card,,6.0,4.0,0.0,49.2,1,60.0,87424.22,0.9728802,Critical Risk,High Value,Critical - High Value,Immediate,Immediate personalized retention intervention,0.9217517569115912
CUST146801,56.0,Male,Hyderabad,70.0,One Year,Premium,1105.51,88585.23,Auto Debit,DSL,12.0,1.0,0.0,57.3,1,17.0,88585.23,0.9679087,Critical Risk,High Value,Critical - High Value,Immediate,Immediate personalized retention intervention,0.9214686940648366
CUST146801,56.0,Male,Hyderabad,70.0,One Year,Premium,1105.51,88585.23,Auto Debit,DSL,12.0,1.0,0.0,57.3,1,17.0,88585.23,0.9679087,Critical Risk,High Value,Critical - High Value,Immediate,Immediate personalized retention intervention,0.9214686940648366
CUST118919,40.0,Male,Hyderabad,55.0,Month-to-Month,Premium,1391.51,87076.11,UPI,Fiber,18.0,1.0,1.0,54.0,1,42.0,87076.11,0.9726326,Critical Risk,High Value,Critical - High Value,Immediate,Immediate personalized retention intervention,0.9206198538758972
CUST119597,72.0,Female,Bengaluru,69.0,Month-to-Month,Premium,1111.48,86491.25,Credit Card,Fiber,18.0,1.0,2.0,74.0,1,65.0,86491.25,0.9745593,Critical Risk,High Value,Critical - High Value,Immediate,Immediate personalized retention intervention,0.9203580290605934
CUST108165,35.0,Female,Mumbai,66.0,,Premium,1226.08,88047.75,Debit Card,DSL,12.0,1.0,1.0,58.1,1,83.0,88047.75,0.9681484,Critical Risk,High Value,Critical - High Value,Immediate,Immediate personalized retention intervention,0.9201564499135004
CUST103214,73.0,Female,Kolkata,68.0,Month-to-Month,Premium,1290.39,88891.96,UPI,Fiber,10.0,2.0,0.0,29.7,1,16.0,88891.96,0.96444196,Critical Risk,High Value,Critical - High Value,Immediate,Immediate personalized retention intervention,0.9198866368980997
CUST136100,47.0,Female,Bengaluru,69.0,One Year,Premium,1173.51,89127.22,Debit Card,Cable,10.0,1.0,1.0,31.9,1,51.0,89127.22,0.96284944,Critical Risk,High Value,Critical - High Value,Immediate,Immediate personalized retention intervention,0.9194196746739107
CUST136100,47.0,Female,Bengaluru,69.0,One Year,Premium,1173.51,89127.22,Debit Card,Cable,10.0,1.0,1.0,31.9,1,51.0,89127.22,0.96284944,Critical Risk,High Value,Critical - High Value,Immediate,Immediate personalized retention intervention,0.9194196746739107
CUST142992,31.0,Female,Chennai,65.0,Month-to-Month,Premium,1232.13,87549.18,Net Banking,Fiber,5.0,2.0,1.0,58.2,1,12.0,87549.18,0.9688977,Critical Risk,High Value,Critical - High Value,Immediate,Immediate personalized retention intervention,0.9193080840409739
